time_step,date,ndvi
140,"Mar 6, 2006",5808.33
141,"Mar 22, 2006",5708.54
142,"Apr 7, 2006",5572.23
143,"Apr 23, 2006",5362.21
144,"May 9, 2006",5093.8
145,"May 25, 2006",4988.27
146,"Jun 10, 2006",4765.28
147,"Jun 26, 2006",4614.27
148,"Jul 12, 2006",4288.06
149,"Jul 28, 2006",4009.92
150,"Aug 13, 2006",3672.71
151,"Aug 29, 2006",3545.48
152,"Sep 14, 2006",3592.37
153,"Sep 30, 2006",4038.3
154,"Oct 16, 2006",4487.14
155,"Nov 1, 2006",5061.66
156,"Nov 17, 2006",5403.32
157,"Dec 3, 2006",5882.54
158,"Dec 19, 2006",5075.45
159,"Jan 1, 2007",6054
160,"Jan 17, 2007",5771.23
161,"Feb 2, 2007",5494.28
162,"Feb 18, 2007",5616.47
163,"Mar 6, 2007",5593.22
164,"Mar 22, 2007",5706.85
165,"Apr 7, 2007",5548.01
166,"Apr 23, 2007",5275.44
167,"May 9, 2007",4978.87
168,"May 25, 2007",4845.58
169,"Jun 10, 2007",4633.12
170,"Jun 26, 2007",4272.33
171,"Jul 12, 2007",4075.15
172,"Jul 28, 2007",3808.91
173,"Aug 13, 2007",3631.21
174,"Aug 29, 2007",3530.9
175,"Sep 14, 2007",3586.71
176,"Sep 30, 2007",4154.02
177,"Oct 16, 2007",4400.13
178,"Nov 1, 2007",4724.84
179,"Nov 17, 2007",5427.46
180,"Dec 3, 2007",4570.23
181,"Dec 19, 2007",5087.7
182,"Jan 1, 2008",4322.87
183,"Jan 17, 2008",3748.7
184,"Feb 2, 2008",5711
185,"Feb 18, 2008",6235.27
186,"Mar 5, 2008",5847.03
187,"Mar 21, 2008",5461.8
188,"Apr 6, 2008",5305.44
189,"Apr 22, 2008",5090.29
190,"May 8, 2008",5041.92
191,"May 24, 2008",4856.46
192,"Jun 9, 2008",4585.56
193,"Jun 25, 2008",4454.61
194,"Jul 11, 2008",4057.48
195,"Jul 27, 2008",3862.28
196,"Aug 12, 2008",3644.58
197,"Aug 28, 2008",3617.99
198,"Sep 13, 2008",3636.48
199,"Sep 29, 2008",3786.48
200,"Oct 15, 2008",4142.51
201,"Oct 31, 2008",4667.72
202,"Nov 16, 2008",5571.76
203,"Dec 2, 2008",5711.33
204,"Dec 18, 2008",5839.86
205,"Jan 1, 2009",6327.4
206,"Jan 17, 2009",5836.29
207,"Feb 2, 2009",5872.39
208,"Feb 18, 2009",5612.62
209,"Mar 6, 2009",5572.86
210,"Mar 22, 2009",5440.45
211,"Apr 7, 2009",5186.23
212,"Apr 23, 2009",5135.13
213,"May 9, 2009",4962.18
214,"May 25, 2009",4816.62
215,"Jun 10, 2009",4708.73
216,"Jun 26, 2009",4505.64
217,"Jul 12, 2009",4195.46
218,"Jul 28, 2009",3921.59
219,"Aug 13, 2009",3672.89
220,"Aug 29, 2009",3549.71
221,"Sep 14, 2009",3645.35
222,"Sep 30, 2009",4249.54
223,"Oct 16, 2009",4567.51
224,"Nov 1, 2009",4939.93
225,"Nov 17, 2009",5725.66
226,"Dec 3, 2009",5739.79
227,"Dec 19, 2009",5615.27
228,"Jan 1, 2010",5710.44
229,"Jan 17, 2010",5787.71
230,"Feb 2, 2010",5821.18
231,"Feb 18, 2010",5188.05
232,"Mar 6, 2010",5753.9
233,"Mar 22, 2010",5729.32
234,"Apr 7, 2010",5494.02
235,"Apr 23, 2010",5416.74
236,"May 9, 2010",5188.28
237,"May 25, 2010",5039.24
238,"Jun 10, 2010",4719.06
239,"Jun 26, 2010",4470.21
240,"Jul 12, 2010",4274.36
241,"Jul 28, 2010",4005.61
242,"Aug 13, 2010",3667.89
243,"Aug 29, 2010",3634.56
244,"Sep 14, 2010",3859.51
245,"Sep 30, 2010",4007.78
246,"Oct 16, 2010",4298.64
247,"Nov 1, 2010",4680.45
248,"Nov 17, 2010",4816.65
249,"Dec 3, 2010",5327.46
250,"Dec 19, 2010",5547.24
251,"Jan 1, 2011",5721.28
252,"Jan 17, 2011",4925.13
253,"Feb 2, 2011",6023.08
254,"Feb 18, 2011",5576.01
255,"Mar 6, 2011",5917.21
256,"Mar 22, 2011",5753.19
257,"Apr 7, 2011",5494.29
258,"Apr 23, 2011",5479.39
259,"May 9, 2011",5314.17
260,"May 25, 2011",5118.95
261,"Jun 10, 2011",4850.98
262,"Jun 26, 2011",4278.21
263,"Jul 12, 2011",3959.98
264,"Jul 28, 2011",3740.39
265,"Aug 13, 2011",3546.99
266,"Aug 29, 2011",3481.23
267,"Sep 14, 2011",3582.61
268,"Sep 30, 2011",4090.75
269,"Oct 16, 2011",4351.94
270,"Nov 1, 2011",4590.66
271,"Nov 17, 2011",4849.15
272,"Dec 3, 2011",5456
273,"Dec 19, 2011",6372.75
274,"Jan 1, 2012",5723.43
275,"Jan 17, 2012",5727.78
276,"Feb 2, 2012",5693.79
277,"Feb 18, 2012",5724.31
278,"Mar 5, 2012",5772.29
279,"Mar 21, 2012",5645.96
280,"Apr 6, 2012",5351.45
281,"Apr 22, 2012",5088.94
282,"May 8, 2012",4926.39
283,"May 24, 2012",4758.12
284,"Jun 9, 2012",4485.94
285,"Jun 25, 2012",4274.53
286,"Jul 11, 2012",4047.53
287,"Jul 27, 2012",3768.03
288,"Aug 12, 2012",3578.62
289,"Aug 28, 2012",3515.53
290,"Sep 13, 2012",3612.01
291,"Sep 29, 2012",3786.65
292,"Oct 15, 2012",4247.33
293,"Oct 31, 2012",4367.31
294,"Nov 16, 2012",4634.09
295,"Dec 2, 2012",5234.49
296,"Dec 18, 2012",4905.79
297,"Jan 1, 2013",4704.46
298,"Jan 17, 2013",5846.14
299,"Feb 2, 2013",5337.38
300,"Feb 18, 2013",5700.26
301,"Mar 6, 2013",5798.22
302,"Mar 22, 2013",5554.89
303,"Apr 7, 2013",5243.94
304,"Apr 23, 2013",5028.89
305,"May 9, 2013",4875.99
306,"May 25, 2013",4689.96
307,"Jun 10, 2013",4422.62
308,"Jun 26, 2013",4242.99
309,"Jul 12, 2013",4023.28
310,"Jul 28, 2013",3820.9
311,"Aug 13, 2013",3665.9
312,"Aug 29, 2013",3586.59
313,"Sep 14, 2013",3732.36
314,"Sep 30, 2013",3837.93
315,"Oct 16, 2013",4009.68
316,"Nov 1, 2013",4743.84
317,"Nov 17, 2013",5505.77
318,"Dec 3, 2013",5427.49
319,"Dec 19, 2013",5188.68
320,"Jan 1, 2014",6008.54
321,"Jan 17, 2014",6001.62
322,"Feb 2, 2014",5804.65
323,"Feb 18, 2014",5591.22
324,"Mar 6, 2014",5827.84
325,"Mar 22, 2014",5660.16
326,"Apr 7, 2014",5572.75
327,"Apr 23, 2014",5380.19
328,"May 9, 2014",5121.41
329,"May 25, 2014",4926.69
330,"Jun 10, 2014",4647.18
331,"Jun 26, 2014",4416.32
332,"Jul 12, 2014",4117
333,"Jul 28, 2014",3940.18
334,"Aug 13, 2014",3698.53
335,"Aug 29, 2014",3469.08
336,"Sep 14, 2014",3733.68
337,"Sep 30, 2014",4167.13
338,"Oct 16, 2014",4229.69
339,"Nov 1, 2014",4954.85
340,"Nov 17, 2014",4913.89
341,"Dec 3, 2014",5209.89
342,"Dec 19, 2014",5847.19
343,"Jan 1, 2015",6004.61
344,"Jan 17, 2015",6028.6
345,"Feb 2, 2015",5773.8
346,"Feb 18, 2015",5768.88
347,"Mar 6, 2015",5536.32
348,"Mar 22, 2015",5440.43
349,"Apr 7, 2015",5599.41
350,"Apr 23, 2015",5410.12
351,"May 9, 2015",5095.19
352,"May 25, 2015",4924.71
353,"Jun 10, 2015",4559.32
354,"Jun 26, 2015",4297.23
355,"Jul 12, 2015",4066.59
356,"Jul 28, 2015",3706.48
357,"Aug 13, 2015",3544.24
358,"Aug 29, 2015",3561.71
359,"Sep 14, 2015",3559.38
360,"Sep 30, 2015",3763.76
361,"Oct 16, 2015",3766.44
362,"Nov 1, 2015",3816.93
363,"Nov 17, 2015",4120.45
364,"Dec 3, 2015",5133.25
365,"Dec 19, 2015",5726.45
366,"Jan 1, 2016",5717.95
367,"Jan 17, 2016",5903.71
368,"Feb 2, 2016",6121.81
369,"Feb 18, 2016",4808.66
370,"Mar 5, 2016",5595.19
371,"Mar 21, 2016",6347.49
372,"Apr 6, 2016",5676.32
373,"Apr 22, 2016",5424.61
374,"May 8, 2016",5261.38
375,"May 24, 2016",4961.44
376,"Jun 9, 2016",4824.33
377,"Jun 25, 2016",4548.72
378,"Jul 11, 2016",4152.24
379,"Jul 27, 2016",3833.74
380,"Aug 12, 2016",3655.4
381,"Aug 28, 2016",3504.19
382,"Sep 13, 2016",3469.72
383,"Sep 29, 2016",3663.49
384,"Oct 15, 2016",3717.63
385,"Oct 31, 2016",3754.17
386,"Nov 16, 2016",4079.61
387,"Dec 2, 2016",4781.86
388,"Dec 18, 2016",5670.53
389,"Jan 1, 2017",6130.33
390,"Jan 17, 2017",5183.01
391,"Feb 2, 2017",6016.27
392,"Feb 18, 2017",5794.58
393,"Mar 6, 2017",5751.3
394,"Mar 22, 2017",5677.86
395,"Apr 7, 2017",5605.81
396,"Apr 23, 2017",5605.23
397,"May 9, 2017",5525.85
398,"May 25, 2017",5322.39
399,"Jun 10, 2017",5134.7
400,"Jun 26, 2017",4831.84
401,"Jul 12, 2017",4566.92
402,"Jul 28, 2017",4230.59
403,"Aug 13, 2017",3955.58
404,"Aug 29, 2017",3661.5
405,"Sep 14, 2017",3738.85
406,"Sep 30, 2017",4164.88
407,"Oct 16, 2017",4375.59
408,"Nov 1, 2017",4496.38
409,"Nov 17, 2017",5190.41
410,"Dec 3, 2017",5867.98
411,"Dec 19, 2017",5978.43
412,"Jan 1, 2018",5932.27
413,"Jan 17, 2018",6000.04
414,"Feb 2, 2018",5937.46
415,"Feb 18, 2018",4866.89
416,"Mar 6, 2018",6155.57
417,"Mar 22, 2018",5786.68
418,"Apr 7, 2018",5843.36
419,"Apr 23, 2018",5692.45
420,"May 9, 2018",5447.25
421,"May 25, 2018",5292.37
422,"Jun 10, 2018",5033.35
423,"Jun 26, 2018",4810.74
424,"Jul 12, 2018",4558.95
425,"Jul 28, 2018",4264.76
426,"Aug 13, 2018",3969.77
427,"Aug 29, 2018",3861.65
428,"Sep 14, 2018",3907.67
429,"Sep 30, 2018",4054.37
430,"Oct 16, 2018",4266.86
431,"Nov 1, 2018",4484.68
432,"Nov 17, 2018",4811.35
433,"Dec 3, 2018",5187.23
434,"Dec 19, 2018",5360.74
435,"Jan 1, 2019",6212.94
436,"Jan 17, 2019",5883.99
437,"Feb 2, 2019",6107.15
438,"Feb 18, 2019",6014.71
439,"Mar 6, 2019",5795.13
440,"Mar 22, 2019",5534.64
441,"Apr 7, 2019",5424.14
442,"Apr 23, 2019",5582.92
443,"May 9, 2019",5356.86
444,"May 25, 2019",5083.88
445,"Jun 10, 2019",4707.61
446,"Jun 26, 2019",4399.01
447,"Jul 12, 2019",4088.86
448,"Jul 28, 2019",3781.07
449,"Aug 13, 2019",3567.88
450,"Aug 29, 2019",3431.28
451,"Sep 14, 2019",3361.58
452,"Sep 30, 2019",3500.55
453,"Oct 16, 2019",3593.55
454,"Nov 1, 2019",4204.14
455,"Nov 17, 2019",4433.1
456,"Dec 3, 2019",5373.94
457,"Dec 19, 2019",5763.15
458,"Jan 1, 2020",4945.09
459,"Jan 17, 2020",6074.25
460,"Feb 2, 2020",5602.72
461,"Feb 18, 2020",5880.22
462,"Mar 5, 2020",5878.76
463,"Mar 21, 2020",6084.16
464,"Apr 6, 2020",5987.69
465,"Apr 22, 2020",5641.33
466,"May 8, 2020",5382.79
467,"May 24, 2020",5178.83
468,"Jun 9, 2020",4991.04
469,"Jun 25, 2020",4694.57
470,"Jul 11, 2020",4434.27
471,"Jul 27, 2020",4130.58
472,"Aug 12, 2020",3849.49
473,"Aug 28, 2020",3749.23
474,"Sep 13, 2020",3890.85
475,"Sep 29, 2020",4285.71
476,"Oct 15, 2020",4230.61
477,"Oct 31, 2020",4434.77
478,"Nov 16, 2020",4712.71
479,"Dec 2, 2020",5384.44
480,"Dec 18, 2020",5606.33
